checkpoint (in update steps),metric_name,metric
0,acc,0.3639398998330551
10,acc,0.3656093489148581
20,acc,0.3689482470784641
40,acc,0.3772954924874791
100,acc,0.4257095158597663
200,acc,0.4006677796327212
400,acc,0.3656093489148581
800,acc,0.2353923205342237
23172,acc,0.3939899833055091
46344,acc,0.3923205342237061
69516,acc,0.3739565943238731
92688,acc,0.4307178631051753
115860,acc,0.4040066777963272
139032,acc,0.3923205342237061
162204,acc,0.3572621035058431
185376,acc,0.3939899833055091
208548,acc,0.4373956594323873
231720,acc,0.4440734557595993
254892,acc,0.327212020033389
278064,acc,0.3973288814691152
301236,acc,0.3856427378964941
324408,acc,0.3572621035058431
347580,acc,0.3873121869782971
370752,acc,0.3739565943238731
393924,acc,0.4040066777963272
417096,acc,0.4524207011686144
440268,acc,0.4173622704507512
463440,acc,0.4641068447412353
486612,acc,0.4824707846410684
509784,acc,0.4357262103505843
532956,acc,0.4557595993322204
556128,acc,0.4223706176961602
579300,acc,0.4824707846410684
602472,acc,0.4724540901502504
625644,acc,0.4691151919866444
648816,acc,0.4808013355592654
671988,acc,0.4891485809682804
695160,acc,0.5258764607679466
718332,acc,0.4958263772954925
741504,acc,0.4924874791318864
764676,acc,0.5125208681135225
787848,acc,0.5175292153589316
811020,acc,0.4774624373956594
834192,acc,0.5025041736227045
857364,acc,0.4924874791318864
880536,acc,0.5041736227045075
903708,acc,0.4757929883138564
926880,acc,0.4524207011686144
950052,acc,0.4657762938230384
973224,acc,0.4624373956594323
996396,acc,0.4540901502504174
1019568,acc,0.4557595993322204
