scenario,metric_name,metric
NEWS (12GB),acc,0.5954045954045954
NEWS (12GB),acc,0.6033966033966034
NEWS (12GB),acc,0.5464535464535465
NEWS (12GB),acc,0.5554445554445554
NEWS (12GB),acc,0.5314685314685315
NEWS (12GB),acc,0.5864135864135864
NEWS (12GB),acc,0.5714285714285714
NEWS (12GB),acc,0.3926073926073926
NEWS (12GB),acc,0.5864135864135864
NEWS (12GB),acc,0.5044955044955045
NEWS (12GB),acc,0.5564435564435565
NEWS (12GB),acc,0.6033966033966034
NEWS (12GB),acc,0.6003996003996004
NEWS (12GB),acc,0.5874125874125874
NEWS (12GB),acc,0.5794205794205795
NEWS (12GB),acc,0.5254745254745254
NEWS (12GB),acc,0.5834165834165834
NEWS (12GB),acc,0.2547452547452547
NEWS (12GB),acc,0.5284715284715285
NEWS (12GB),acc,0.5634365634365635
NEWS (12GB),acc,0.5964035964035964
NEWS (12GB),acc,0.5384615384615384
NEWS (12GB),acc,0.5864135864135864
NEWS (12GB),acc,0.5954045954045954
NEWS (12GB),acc,0.5924075924075924
NEWS (12GB),acc,0.5784215784215784
NEWS (12GB),acc,0.5564435564435565
NEWS (12GB),acc,0.5414585414585414
NEWS (12GB),acc,0.5744255744255744
NEWS (12GB),acc,0.5014985014985015
NEWS (12GB),acc,0.5694305694305695
NEWS (12GB),acc,0.44955044955044954
NEWS (12GB),acc,0.6013986013986014
NEWS (12GB),acc,0.5904095904095904
NEWS (12GB),acc,0.5724275724275725
NEWS (12GB),acc,0.4725274725274725
NEWS (12GB),acc,0.5684315684315684
NEWS (12GB),acc,0.4995004995004995
NEWS (12GB),acc,0.5444555444555444
NEWS (12GB),acc,0.5614385614385614
NEWS (12GB),acc,0.5934065934065934
NEWS (12GB),acc,0.5984015984015985
NEWS (12GB),acc,0.6013986013986014
NEWS (12GB),acc,0.5954045954045954
NEWS (12GB),acc,0.5844155844155844
NEWS (12GB),acc,0.5904095904095904
NEWS (12GB),acc,0.5804195804195804
NEWS (12GB),acc,0.5794205794205795
NEWS (12GB),acc,0.5864135864135864
WIKI (12GB),acc,0.5154845154845155
WIKI (12GB),acc,0.5404595404595405
WIKI (12GB),acc,0.5114885114885115
WIKI (12GB),acc,0.5624375624375625
WIKI (12GB),acc,0.5334665334665335
WIKI (12GB),acc,0.39760239760239763
WIKI (12GB),acc,0.5574425574425574
WIKI (12GB),acc,0.48951048951048953
WIKI (12GB),acc,0.5314685314685315
WIKI (12GB),acc,0.5474525474525475
WIKI (12GB),acc,0.5444555444555444
WIKI (12GB),acc,0.5024975024975025
WIKI (12GB),acc,0.5534465534465535
WIKI (12GB),acc,0.2547452547452547
WIKI (12GB),acc,0.5114885114885115
WIKI (12GB),acc,0.5374625374625375
WIKI (12GB),acc,0.5534465534465535
WIKI (12GB),acc,0.5204795204795205
WIKI (12GB),acc,0.5614385614385614
WIKI (12GB),acc,0.5574425574425574
WIKI (12GB),acc,0.5594405594405595
WIKI (12GB),acc,0.5684315684315684
WIKI (12GB),acc,0.5314685314685315
WIKI (12GB),acc,0.5324675324675324
WIKI (12GB),acc,0.5414585414585414
WIKI (12GB),acc,0.4865134865134865
WIKI (12GB),acc,0.5224775224775224
WIKI (12GB),acc,0.46253746253746253
WIKI (12GB),acc,0.5684315684315684
WIKI (12GB),acc,0.5494505494505495
WIKI (12GB),acc,0.4725274725274725
WIKI (12GB),acc,0.5514485514485514
WIKI (12GB),acc,0.4825174825174825
WIKI (12GB),acc,0.5414585414585414
WIKI (12GB),acc,0.5414585414585414
WIKI (12GB),acc,0.5734265734265734
WIKI (12GB),acc,0.5714285714285714
WIKI (12GB),acc,0.5644355644355644
WIKI (12GB),acc,0.5714285714285714
WIKI (12GB),acc,0.5694305694305695
WIKI (12GB),acc,0.5574425574425574
WIKI (12GB),acc,0.5654345654345654
STORIES (12GB),acc,0.5714285714285714
STORIES (12GB),acc,0.5724275724275725
STORIES (12GB),acc,0.5544455544455544
STORIES (12GB),acc,0.5494505494505495
STORIES (12GB),acc,0.5424575424575424
STORIES (12GB),acc,0.5784215784215784
STORIES (12GB),acc,0.5564435564435565
STORIES (12GB),acc,0.4195804195804196
STORIES (12GB),acc,0.5544455544455544
