scenario,metric_name,metric
NEWS (12GB),acc,0.5759717314487632
NEWS (12GB),acc,0.5759717314487632
NEWS (12GB),acc,0.558303886925795
NEWS (12GB),acc,0.5653710247349824
NEWS (12GB),acc,0.5406360424028268
NEWS (12GB),acc,0.5477031802120141
NEWS (12GB),acc,0.568904593639576
NEWS (12GB),acc,0.5123674911660777
NEWS (12GB),acc,0.5653710247349824
NEWS (12GB),acc,0.5300353356890459
NEWS (12GB),acc,0.5653710247349824
NEWS (12GB),acc,0.568904593639576
NEWS (12GB),acc,0.5795053003533569
NEWS (12GB),acc,0.5653710247349824
NEWS (12GB),acc,0.5441696113074205
NEWS (12GB),acc,0.5441696113074205
NEWS (12GB),acc,0.5441696113074205
NEWS (12GB),acc,0.48056537102473496
NEWS (12GB),acc,0.558303886925795
NEWS (12GB),acc,0.5441696113074205
NEWS (12GB),acc,0.568904593639576
NEWS (12GB),acc,0.5477031802120141
NEWS (12GB),acc,0.5547703180212014
NEWS (12GB),acc,0.5724381625441696
NEWS (12GB),acc,0.558303886925795
NEWS (12GB),acc,0.5653710247349824
NEWS (12GB),acc,0.5371024734982333
NEWS (12GB),acc,0.5477031802120141
NEWS (12GB),acc,0.5618374558303887
NEWS (12GB),acc,0.5300353356890459
NEWS (12GB),acc,0.5512367491166078
NEWS (12GB),acc,0.5335689045936396
NEWS (12GB),acc,0.5724381625441696
NEWS (12GB),acc,0.5653710247349824
NEWS (12GB),acc,0.5441696113074205
NEWS (12GB),acc,0.5265017667844523
NEWS (12GB),acc,0.5441696113074205
NEWS (12GB),acc,0.519434628975265
NEWS (12GB),acc,0.5512367491166078
NEWS (12GB),acc,0.5512367491166078
NEWS (12GB),acc,0.568904593639576
NEWS (12GB),acc,0.5653710247349824
NEWS (12GB),acc,0.568904593639576
NEWS (12GB),acc,0.558303886925795
NEWS (12GB),acc,0.5477031802120141
NEWS (12GB),acc,0.568904593639576
NEWS (12GB),acc,0.558303886925795
NEWS (12GB),acc,0.5229681978798587
NEWS (12GB),acc,0.5653710247349824
WIKI (12GB),acc,0.5265017667844523
WIKI (12GB),acc,0.5512367491166078
WIKI (12GB),acc,0.5335689045936396
WIKI (12GB),acc,0.5618374558303887
WIKI (12GB),acc,0.5335689045936396
WIKI (12GB),acc,0.5159010600706714
WIKI (12GB),acc,0.5441696113074205
WIKI (12GB),acc,0.5017667844522968
WIKI (12GB),acc,0.5406360424028268
WIKI (12GB),acc,0.5406360424028268
WIKI (12GB),acc,0.5300353356890459
WIKI (12GB),acc,0.5477031802120141
WIKI (12GB),acc,0.508833922261484
WIKI (12GB),acc,0.48056537102473496
WIKI (12GB),acc,0.5371024734982333
WIKI (12GB),acc,0.558303886925795
WIKI (12GB),acc,0.5547703180212014
WIKI (12GB),acc,0.5229681978798587
WIKI (12GB),acc,0.5547703180212014
WIKI (12GB),acc,0.5406360424028268
WIKI (12GB),acc,0.5512367491166078
WIKI (12GB),acc,0.558303886925795
WIKI (12GB),acc,0.5371024734982333
WIKI (12GB),acc,0.558303886925795
WIKI (12GB),acc,0.5477031802120141
WIKI (12GB),acc,0.5159010600706714
WIKI (12GB),acc,0.5441696113074205
WIKI (12GB),acc,0.5265017667844523
WIKI (12GB),acc,0.5724381625441696
WIKI (12GB),acc,0.5441696113074205
WIKI (12GB),acc,0.5053003533568905
WIKI (12GB),acc,0.5335689045936396
WIKI (12GB),acc,0.508833922261484
WIKI (12GB),acc,0.5477031802120141
WIKI (12GB),acc,0.5406360424028268
WIKI (12GB),acc,0.5759717314487632
WIKI (12GB),acc,0.5618374558303887
WIKI (12GB),acc,0.5547703180212014
WIKI (12GB),acc,0.5618374558303887
WIKI (12GB),acc,0.5406360424028268
WIKI (12GB),acc,0.5653710247349824
WIKI (12GB),acc,0.558303886925795
STORIES (12GB),acc,0.558303886925795
STORIES (12GB),acc,0.558303886925795
STORIES (12GB),acc,0.5371024734982333
STORIES (12GB),acc,0.5618374558303887
STORIES (12GB),acc,0.5477031802120141
STORIES (12GB),acc,0.5406360424028268
STORIES (12GB),acc,0.5335689045936396
STORIES (12GB),acc,0.5017667844522968
STORIES (12GB),acc,0.5547703180212014
STORIES (12GB),acc,0.5335689045936396
STORIES (12GB),acc,0.5441696113074205
STORIES (12GB),acc,0.5371024734982333
STORIES (12GB),acc,0.5618374558303887
STORIES (12GB),acc,0.568904593639576
STORIES (12GB),acc,0.5547703180212014
STORIES (12GB),acc,0.5371024734982333
STORIES (12GB),acc,0.5477031802120141
STORIES (12GB),acc,0.5406360424028268
STORIES (12GB),acc,0.5547703180212014
STORIES (12GB),acc,0.5371024734982333
STORIES (12GB),acc,0.5300353356890459
STORIES (12GB),acc,0.5512367491166078
STORIES (12GB),acc,0.5335689045936396
STORIES (12GB),acc,0.5477031802120141
STORIES (12GB),acc,0.5335689045936396
STORIES (12GB),acc,0.5159010600706714
STORIES (12GB),acc,0.5618374558303887
