checkpoint (in update steps),metric_name,metric
0,acc,0.48056537102473496
10,acc,0.48056537102473496
20,acc,0.48056537102473496
40,acc,0.4911660777385159
100,acc,0.49469964664310956
200,acc,0.49469964664310956
400,acc,0.49823321554770317
800,acc,0.49823321554770317
1600,acc,0.5017667844522968
3200,acc,0.508833922261484
6400,acc,0.5053003533568905
12800,acc,0.508833922261484
20000,acc,0.508833922261484
40000,acc,0.5159010600706714
60000,acc,0.5123674911660777
80000,acc,0.5053003533568905
100000,acc,0.5300353356890459
120000,acc,0.5477031802120141
140000,acc,0.5512367491166078
160000,acc,0.5300353356890459
180000,acc,0.5512367491166078
200000,acc,0.5441696113074205
220000,acc,0.5371024734982333
240000,acc,0.5618374558303887
260000,acc,0.558303886925795
280000,acc,0.5441696113074205
300000,acc,0.5653710247349824
320000,acc,0.5795053003533569
340000,acc,0.568904593639576
360000,acc,0.5512367491166078
380000,acc,0.5724381625441696
400000,acc,0.5477031802120141
420000,acc,0.5512367491166078
440000,acc,0.5724381625441696
460000,acc,0.5547703180212014
480000,acc,0.5653710247349824
500000,acc,0.558303886925795
520000,acc,0.5759717314487632
540000,acc,0.5795053003533569
560000,acc,0.568904593639576
580000,acc,0.5653710247349824
600000,acc,0.558303886925795
620000,acc,0.5724381625441696
640000,acc,0.5618374558303887
660000,acc,0.5477031802120141
680000,acc,0.5724381625441696
700000,acc,0.5618374558303887
720000,acc,0.558303886925795
740000,acc,0.5547703180212014
760000,acc,0.5653710247349824
780000,acc,0.568904593639576
800000,acc,0.568904593639576
820000,acc,0.558303886925795
840000,acc,0.5512367491166078
860000,acc,0.5795053003533569
880000,acc,0.5653710247349824
900000,acc,0.5724381625441696
920000,acc,0.5618374558303887
940000,acc,0.5547703180212014
960000,acc,0.5512367491166078
980000,acc,0.5547703180212014
1000000,acc,0.5547703180212014
