checkpoint (in update steps),relation_type,metric_name,metric
764676,place_of_birth,P@ks_str,"{1: 0.0087, 5: 0.057800000000000004, 10: 0.1052}"
764676,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
764676,place_of_death,P@ks_str,"{1: 0.0046, 5: 0.029300000000000003, 10: 0.0524}"
787848,place_of_birth,P@ks_str,"{1: 0.0075, 5: 0.0366, 10: 0.0645}"
787848,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
787848,place_of_death,P@ks_str,"{1: 0.0031, 5: 0.0108, 10: 0.018500000000000003}"
811020,place_of_birth,P@ks_str,"{1: 0.0137, 5: 0.067, 10: 0.11560000000000001}"
811020,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
811020,place_of_death,P@ks_str,"{1: 0.0062, 5: 0.0401, 10: 0.0693}"
741504,place_of_birth,P@ks_str,"{1: 0.0137, 5: 0.0678, 10: 0.1148}"
741504,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
741504,place_of_death,P@ks_str,"{1: 0.02, 5: 0.07400000000000001, 10: 0.114}"
324408,place_of_birth,P@ks_str,"{1: 0.0042, 5: 0.0225, 10: 0.0507}"
324408,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
324408,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0154, 10: 0.0385}"
301236,place_of_birth,P@ks_str,"{1: 0.0012, 5: 0.0067, 10: 0.016200000000000003}"
301236,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
301236,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0015}"
579300,place_of_birth,P@ks_str,"{1: 0.0141, 5: 0.0774, 10: 0.1131}"
579300,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
579300,place_of_death,P@ks_str,"{1: 0.0046, 5: 0.0169, 10: 0.0231}"
115860,place_of_birth,P@ks_str,"{1: 0.0062, 5: 0.03, 10: 0.0524}"
115860,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
115860,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0031, 10: 0.0031}"
509784,place_of_birth,P@ks_str,"{1: 0.005, 5: 0.0146, 10: 0.0354}"
509784,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
509784,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0031, 10: 0.0062}"
46344,place_of_birth,P@ks_str,"{1: 0.0141, 5: 0.047, 10: 0.0728}"
46344,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
46344,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
926880,place_of_birth,P@ks_str,"{1: 0.0329, 5: 0.09230000000000001, 10: 0.15810000000000002}"
926880,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
926880,place_of_death,P@ks_str,"{1: 0.0154, 5: 0.0801, 10: 0.114}"
532956,place_of_birth,P@ks_str,"{1: 0.0196, 5: 0.07780000000000001, 10: 0.12269999999999999}"
532956,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
532956,place_of_death,P@ks_str,"{1: 0.0062, 5: 0.0108, 10: 0.0277}"
69516,place_of_birth,P@ks_str,"{1: 0.013300000000000001, 5: 0.057, 10: 0.0894}"
69516,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
69516,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
556128,place_of_birth,P@ks_str,"{1: 0.0054, 5: 0.039900000000000005, 10: 0.0666}"
556128,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
556128,place_of_death,P@ks_str,"{1: 0.0062, 5: 0.0169, 10: 0.0308}"
92688,place_of_birth,P@ks_str,"{1: 0.0062, 5: 0.025, 10: 0.0366}"
92688,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
92688,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0015}"
278064,place_of_birth,P@ks_str,"{1: 0.0, 5: 0.0046, 10: 0.0154}"
278064,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
278064,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
347580,place_of_birth,P@ks_str,"{1: 0.0, 5: 0.0067, 10: 0.0137}"
347580,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
347580,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0015, 10: 0.0015}"
950052,place_of_birth,P@ks_str,"{1: 0.032, 5: 0.0928, 10: 0.1531}"
950052,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
950052,place_of_death,P@ks_str,"{1: 0.032400000000000005, 5: 0.0894, 10: 0.1325}"
857364,place_of_birth,P@ks_str,"{1: 0.026600000000000002, 5: 0.0907, 10: 0.1481}"
857364,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
857364,place_of_death,P@ks_str,"{1: 0.0108, 5: 0.058600000000000006, 10: 0.08779999999999999}"
695160,place_of_birth,P@ks_str,"{1: 0.0279, 5: 0.0803, 10: 0.121}"
695160,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
695160,place_of_death,P@ks_str,"{1: 0.0108, 5: 0.0416, 10: 0.0555}"
903708,place_of_birth,P@ks_str,"{1: 0.0358, 5: 0.09939999999999999, 10: 0.1643}"
903708,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
903708,place_of_death,P@ks_str,"{1: 0.0216, 5: 0.0909, 10: 0.1356}"
880536,place_of_birth,P@ks_str,"{1: 0.0349, 5: 0.09480000000000001, 10: 0.1577}"
880536,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
880536,place_of_death,P@ks_str,"{1: 0.02, 5: 0.0709, 10: 0.1202}"
