checkpoint (in update steps),relation_type,metric_name,metric
40000,place_of_birth,P@ks_str,"{1: 0.013300000000000001, 5: 0.0507, 10: 0.0691}"
40000,date_of_birth,P@ks_str,"{1: 0.0109, 5: 0.06709999999999999, 10: 0.1374}"
40000,place_of_death,P@ks_str,"{1: 0.0031, 5: 0.0092, 10: 0.018500000000000003}"
880000,place_of_birth,P@ks_str,"{1: 0.0537, 5: 0.1572, 10: 0.1955}"
880000,date_of_birth,P@ks_str,"{1: 0.0083, 5: 0.076, 10: 0.1514}"
880000,place_of_death,P@ks_str,"{1: 0.0031, 5: 0.0092, 10: 0.0139}"
60000,place_of_birth,P@ks_str,"{1: 0.0216, 5: 0.0836, 10: 0.1198}"
60000,date_of_birth,P@ks_str,"{1: 0.0083, 5: 0.042800000000000005, 10: 0.0933}"
60000,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0031}"
800,place_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
800,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
800,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
760000,place_of_birth,P@ks_str,"{1: 0.0449, 5: 0.1506, 10: 0.2097}"
760000,date_of_birth,P@ks_str,"{1: 0.016, 5: 0.0716, 10: 0.1476}"
760000,place_of_death,P@ks_str,"{1: 0.018500000000000003, 5: 0.0416, 10: 0.0493}"
620000,place_of_birth,P@ks_str,"{1: 0.0882, 5: 0.19219999999999998, 10: 0.2359}"
620000,date_of_birth,P@ks_str,"{1: 0.0128, 5: 0.0767, 10: 0.1604}"
620000,place_of_death,P@ks_str,"{1: 0.0154, 5: 0.029300000000000003, 10: 0.0431}"
200,place_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
200,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
200,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
840000,place_of_birth,P@ks_str,"{1: 0.0591, 5: 0.2051, 10: 0.25329999999999997}"
840000,date_of_birth,P@ks_str,"{1: 0.015300000000000001, 5: 0.0748, 10: 0.1406}"
840000,place_of_death,P@ks_str,"{1: 0.0108, 5: 0.0231, 10: 0.037000000000000005}"
900000,place_of_birth,P@ks_str,"{1: 0.0574, 5: 0.156, 10: 0.1938}"
900000,date_of_birth,P@ks_str,"{1: 0.0166, 5: 0.0748, 10: 0.1565}"
900000,place_of_death,P@ks_str,"{1: 0.0108, 5: 0.018500000000000003, 10: 0.0262}"
520000,place_of_birth,P@ks_str,"{1: 0.044500000000000005, 5: 0.18469999999999998, 10: 0.27449999999999997}"
520000,date_of_birth,P@ks_str,"{1: 0.015300000000000001, 5: 0.076, 10: 0.1419}"
520000,place_of_death,P@ks_str,"{1: 0.0308, 5: 0.057, 10: 0.08470000000000001}"
460000,place_of_birth,P@ks_str,"{1: 0.0907, 5: 0.23420000000000002, 10: 0.3182}"
460000,date_of_birth,P@ks_str,"{1: 0.0134, 5: 0.0728, 10: 0.1508}"
460000,place_of_death,P@ks_str,"{1: 0.0647, 5: 0.11710000000000001, 10: 0.1402}"
40,place_of_birth,P@ks_str,"{1: 0.0, 5: 0.0004, 10: 0.0004}"
40,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
40,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
780000,place_of_birth,P@ks_str,"{1: 0.047400000000000005, 5: 0.1668, 10: 0.218}"
780000,date_of_birth,P@ks_str,"{1: 0.0166, 5: 0.069, 10: 0.1444}"
780000,place_of_death,P@ks_str,"{1: 0.0154, 5: 0.0416, 10: 0.0678}"
500000,place_of_birth,P@ks_str,"{1: 0.028300000000000002, 5: 0.11810000000000001, 10: 0.1751}"
500000,date_of_birth,P@ks_str,"{1: 0.0109, 5: 0.069, 10: 0.1355}"
500000,place_of_death,P@ks_str,"{1: 0.0015, 5: 0.0046, 10: 0.0108}"
440000,place_of_birth,P@ks_str,"{1: 0.0695, 5: 0.2151, 10: 0.2783}"
440000,date_of_birth,P@ks_str,"{1: 0.015300000000000001, 5: 0.0812, 10: 0.1649}"
440000,place_of_death,P@ks_str,"{1: 0.0524, 5: 0.1048, 10: 0.1402}"
80000,place_of_birth,P@ks_str,"{1: 0.0765, 5: 0.17350000000000002, 10: 0.22460000000000002}"
80000,date_of_birth,P@ks_str,"{1: 0.0147, 5: 0.0601, 10: 0.1284}"
80000,place_of_death,P@ks_str,"{1: 0.0169, 5: 0.0339, 10: 0.0431}"
860000,place_of_birth,P@ks_str,"{1: 0.0507, 5: 0.1418, 10: 0.1789}"
860000,date_of_birth,P@ks_str,"{1: 0.0141, 5: 0.0754, 10: 0.1482}"
860000,place_of_death,P@ks_str,"{1: 0.0123, 5: 0.018500000000000003, 10: 0.0277}"
920000,place_of_birth,P@ks_str,"{1: 0.067, 5: 0.1776, 10: 0.2304}"
920000,date_of_birth,P@ks_str,"{1: 0.0166, 5: 0.0805, 10: 0.161}"
920000,place_of_death,P@ks_str,"{1: 0.0092, 5: 0.0154, 10: 0.0169}"
960000,place_of_birth,P@ks_str,"{1: 0.0516, 5: 0.1668, 10: 0.2084}"
960000,date_of_birth,P@ks_str,"{1: 0.0147, 5: 0.0799, 10: 0.1534}"
960000,place_of_death,P@ks_str,"{1: 0.0139, 5: 0.0262, 10: 0.032400000000000005}"
820000,place_of_birth,P@ks_str,"{1: 0.0304, 5: 0.1364, 10: 0.1843}"
820000,date_of_birth,P@ks_str,"{1: 0.0096, 5: 0.0716, 10: 0.1406}"
820000,place_of_death,P@ks_str,"{1: 0.0077, 5: 0.0354, 10: 0.0493}"
680000,place_of_birth,P@ks_str,"{1: 0.07200000000000001, 5: 0.2159, 10: 0.27449999999999997}"
680000,date_of_birth,P@ks_str,"{1: 0.0121, 5: 0.0728, 10: 0.1406}"
680000,place_of_death,P@ks_str,"{1: 0.0231, 5: 0.058600000000000006, 10: 0.07400000000000001}"
400000,place_of_birth,P@ks_str,"{1: 0.0645, 5: 0.2009, 10: 0.2729}"
400000,date_of_birth,P@ks_str,"{1: 0.0115, 5: 0.0652, 10: 0.1361}"
400000,place_of_death,P@ks_str,"{1: 0.0062, 5: 0.0154, 10: 0.0216}"
540000,place_of_birth,P@ks_str,"{1: 0.0616, 5: 0.2184, 10: 0.2916}"
540000,date_of_birth,P@ks_str,"{1: 0.018500000000000003, 5: 0.0716, 10: 0.1399}"
540000,place_of_death,P@ks_str,"{1: 0.0231, 5: 0.0431, 10: 0.077}"
1600,place_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
1600,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
1600,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
420000,place_of_birth,P@ks_str,"{1: 0.07200000000000001, 5: 0.218, 10: 0.3145}"
420000,date_of_birth,P@ks_str,"{1: 0.015300000000000001, 5: 0.0696, 10: 0.1361}"
420000,place_of_death,P@ks_str,"{1: 0.0462, 5: 0.0924, 10: 0.114}"
560000,place_of_birth,P@ks_str,"{1: 0.0478, 5: 0.16510000000000002, 10: 0.2321}"
560000,date_of_birth,P@ks_str,"{1: 0.0115, 5: 0.0709, 10: 0.1291}"
560000,place_of_death,P@ks_str,"{1: 0.0169, 5: 0.037000000000000005, 10: 0.0524}"
940000,place_of_birth,P@ks_str,"{1: 0.0516, 5: 0.1635, 10: 0.20920000000000002}"
940000,date_of_birth,P@ks_str,"{1: 0.0173, 5: 0.0799, 10: 0.1578}"
940000,place_of_death,P@ks_str,"{1: 0.0046, 5: 0.0139, 10: 0.0154}"
800000,place_of_birth,P@ks_str,"{1: 0.0562, 5: 0.1805, 10: 0.2267}"
800000,date_of_birth,P@ks_str,"{1: 0.0064, 5: 0.0588, 10: 0.1355}"
800000,place_of_death,P@ks_str,"{1: 0.0216, 5: 0.0493, 10: 0.0647}"
180000,place_of_birth,P@ks_str,"{1: 0.08779999999999999, 5: 0.2022, 10: 0.26039999999999996}"
180000,date_of_birth,P@ks_str,"{1: 0.0102, 5: 0.0562, 10: 0.1265}"
180000,place_of_death,P@ks_str,"{1: 0.0354, 5: 0.0663, 10: 0.077}"
240000,place_of_birth,P@ks_str,"{1: 0.067, 5: 0.1943, 10: 0.2708}"
240000,date_of_birth,P@ks_str,"{1: 0.0134, 5: 0.0709, 10: 0.1259}"
240000,place_of_death,P@ks_str,"{1: 0.02, 5: 0.0416, 10: 0.0647}"
300000,place_of_birth,P@ks_str,"{1: 0.0782, 5: 0.2167, 10: 0.2995}"
300000,date_of_birth,P@ks_str,"{1: 0.006999999999999999, 5: 0.0575, 10: 0.1201}"
300000,place_of_death,P@ks_str,"{1: 0.0601, 5: 0.1525, 10: 0.1895}"
6400,place_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
6400,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
6400,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
1000000,place_of_birth,P@ks_str,"{1: 0.056600000000000004, 5: 0.18469999999999998, 10: 0.2359}"
1000000,date_of_birth,P@ks_str,"{1: 0.0166, 5: 0.076, 10: 0.147}"
1000000,place_of_death,P@ks_str,"{1: 0.0077, 5: 0.0139, 10: 0.0169}"
260000,place_of_birth,P@ks_str,"{1: 0.06860000000000001, 5: 0.2134, 10: 0.2899}"
260000,date_of_birth,P@ks_str,"{1: 0.0166, 5: 0.0722, 10: 0.13419999999999999}"
260000,place_of_death,P@ks_str,"{1: 0.0031, 5: 0.0277, 10: 0.0401}"
320000,place_of_birth,P@ks_str,"{1: 0.0699, 5: 0.21050000000000002, 10: 0.2812}"
320000,date_of_birth,P@ks_str,"{1: 0.0141, 5: 0.0741, 10: 0.1323}"
320000,place_of_death,P@ks_str,"{1: 0.0154, 5: 0.0616, 10: 0.0909}"
360000,place_of_birth,P@ks_str,"{1: 0.07490000000000001, 5: 0.2304, 10: 0.2999}"
360000,date_of_birth,P@ks_str,"{1: 0.0141, 5: 0.0843, 10: 0.1578}"
360000,place_of_death,P@ks_str,"{1: 0.0508, 5: 0.11560000000000001, 10: 0.1402}"
220000,place_of_birth,P@ks_str,"{1: 0.0661, 5: 0.19010000000000002, 10: 0.27}"
220000,date_of_birth,P@ks_str,"{1: 0.0134, 5: 0.0728, 10: 0.1316}"
220000,place_of_death,P@ks_str,"{1: 0.0647, 5: 0.11710000000000001, 10: 0.1525}"
400,place_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
400,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
400,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
340000,place_of_birth,P@ks_str,"{1: 0.0512, 5: 0.1984, 10: 0.2812}"
340000,date_of_birth,P@ks_str,"{1: 0.019799999999999998, 5: 0.0818, 10: 0.1463}"
340000,place_of_death,P@ks_str,"{1: 0.0046, 5: 0.0431, 10: 0.0555}"
200000,place_of_birth,P@ks_str,"{1: 0.0824, 5: 0.22210000000000002, 10: 0.3166}"
200000,date_of_birth,P@ks_str,"{1: 0.0179, 5: 0.049800000000000004, 10: 0.1003}"
200000,place_of_death,P@ks_str,"{1: 0.0092, 5: 0.0431, 10: 0.0616}"
