checkpoint (in update steps),relation_type,metric_name,metric
611465,place_of_birth,P@ks_str,"{1: 0.0121, 5: 0.0337, 10: 0.0449}"
611465,date_of_birth,P@ks_str,"{1: 0.0102, 5: 0.0575, 10: 0.1061}"
611465,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
231935,place_of_birth,P@ks_str,"{1: 0.0225, 5: 0.0732, 10: 0.1011}"
231935,date_of_birth,P@ks_str,"{1: 0.0032, 5: 0.0141, 10: 0.0256}"
231935,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
695805,place_of_birth,P@ks_str,"{1: 0.0262, 5: 0.0599, 10: 0.0803}"
695805,date_of_birth,P@ks_str,"{1: 0.0083, 5: 0.042800000000000005, 10: 0.07919999999999999}"
695805,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
716890,place_of_birth,P@ks_str,"{1: 0.0424, 5: 0.0886, 10: 0.1048}"
716890,date_of_birth,P@ks_str,"{1: 0.0058, 5: 0.03, 10: 0.0613}"
716890,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
737975,place_of_birth,P@ks_str,"{1: 0.059500000000000004, 5: 0.124, 10: 0.1606}"
737975,date_of_birth,P@ks_str,"{1: 0.0102, 5: 0.03, 10: 0.0575}"
737975,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
674720,place_of_birth,P@ks_str,"{1: 0.029500000000000002, 5: 0.0695, 10: 0.0969}"
674720,date_of_birth,P@ks_str,"{1: 0.015300000000000001, 5: 0.0351, 10: 0.0786}"
674720,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0015}"
295190,place_of_birth,P@ks_str,"{1: 0.0487, 5: 0.1294, 10: 0.188}"
295190,date_of_birth,P@ks_str,"{1: 0.0032, 5: 0.0217, 10: 0.054299999999999994}"
295190,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
274105,place_of_birth,P@ks_str,"{1: 0.0025, 5: 0.0067, 10: 0.0096}"
274105,date_of_birth,P@ks_str,"{1: 0.0026, 5: 0.024300000000000002, 10: 0.0537}"
274105,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
527125,place_of_birth,P@ks_str,"{1: 0.0204, 5: 0.0499, 10: 0.0645}"
527125,date_of_birth,P@ks_str,"{1: 0.0045000000000000005, 5: 0.03, 10: 0.062}"
527125,place_of_death,P@ks_str,"{1: 0.0046, 5: 0.0092, 10: 0.0123}"
105425,place_of_birth,P@ks_str,"{1: 0.0116, 5: 0.053200000000000004, 10: 0.08529999999999999}"
105425,date_of_birth,P@ks_str,"{1: 0.0006, 5: 0.0013, 10: 0.0032}"
105425,place_of_death,P@ks_str,"{1: 0.0015, 5: 0.0015, 10: 0.0046}"
463870,place_of_birth,P@ks_str,"{1: 0.0191, 5: 0.067, 10: 0.09029999999999999}"
463870,date_of_birth,P@ks_str,"{1: 0.0013, 5: 0.024900000000000002, 10: 0.0518}"
463870,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
42170,place_of_birth,P@ks_str,"{1: 0.0141, 5: 0.0449, 10: 0.0707}"
42170,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
42170,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0077, 10: 0.0123}"
990995,place_of_birth,P@ks_str,"{1: 0.0545, 5: 0.1119, 10: 0.1348}"
990995,date_of_birth,P@ks_str,"{1: 0.0064, 5: 0.0454, 10: 0.08560000000000001}"
990995,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
843400,place_of_birth,P@ks_str,"{1: 0.0516, 5: 0.121, 10: 0.1439}"
843400,date_of_birth,P@ks_str,"{1: 0.0083, 5: 0.0466, 10: 0.09140000000000001}"
843400,place_of_death,P@ks_str,"{1: 0.0031, 5: 0.0062, 10: 0.0108}"
484955,place_of_birth,P@ks_str,"{1: 0.0349, 5: 0.0795, 10: 0.1002}"
484955,date_of_birth,P@ks_str,"{1: 0.0038, 5: 0.0128, 10: 0.0236}"
484955,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
63255,place_of_birth,P@ks_str,"{1: 0.0146, 5: 0.0932, 10: 0.1435}"
63255,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0006}"
63255,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0077, 10: 0.0154}"
506040,place_of_birth,P@ks_str,"{1: 0.0062, 5: 0.0196, 10: 0.0349}"
506040,date_of_birth,P@ks_str,"{1: 0.016, 5: 0.0518, 10: 0.0882}"
506040,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0031}"
84340,place_of_birth,P@ks_str,"{1: 0.0262, 5: 0.0915, 10: 0.15560000000000002}"
84340,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
84340,place_of_death,P@ks_str,"{1: 0.0046, 5: 0.0077, 10: 0.018500000000000003}"
253020,place_of_birth,P@ks_str,"{1: 0.0212, 5: 0.0799, 10: 0.1023}"
253020,date_of_birth,P@ks_str,"{1: 0.0013, 5: 0.006999999999999999, 10: 0.0179}"
253020,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
316275,place_of_birth,P@ks_str,"{1: 0.0029, 5: 0.0116, 10: 0.0179}"
316275,date_of_birth,P@ks_str,"{1: 0.0089, 5: 0.050499999999999996, 10: 0.10289999999999999}"
316275,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
864485,place_of_birth,P@ks_str,"{1: 0.047400000000000005, 5: 0.114, 10: 0.1456}"
864485,date_of_birth,P@ks_str,"{1: 0.0141, 5: 0.0454, 10: 0.078}"
864485,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0062, 10: 0.0077}"
969910,place_of_birth,P@ks_str,"{1: 0.050300000000000004, 5: 0.124, 10: 0.1522}"
969910,date_of_birth,P@ks_str,"{1: 0.0083, 5: 0.050499999999999996, 10: 0.0888}"
969910,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0015}"
1012080,place_of_birth,P@ks_str,"{1: 0.056600000000000004, 5: 0.1206, 10: 0.1502}"
1012080,date_of_birth,P@ks_str,"{1: 0.006999999999999999, 5: 0.0435, 10: 0.085}"
1012080,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0015}"
780145,place_of_birth,P@ks_str,"{1: 0.054900000000000004, 5: 0.1161, 10: 0.1477}"
780145,date_of_birth,P@ks_str,"{1: 0.0083, 5: 0.0371, 10: 0.0639}"
780145,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
632550,place_of_birth,P@ks_str,"{1: 0.0204, 5: 0.047, 10: 0.0632}"
632550,date_of_birth,P@ks_str,"{1: 0.0109, 5: 0.0466, 10: 0.0946}"
632550,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
822315,place_of_birth,P@ks_str,"{1: 0.054900000000000004, 5: 0.1244, 10: 0.15560000000000002}"
822315,date_of_birth,P@ks_str,"{1: 0.0128, 5: 0.0447, 10: 0.078}"
822315,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0031, 10: 0.0046}"
801230,place_of_birth,P@ks_str,"{1: 0.0408, 5: 0.0849, 10: 0.11109999999999999}"
801230,date_of_birth,P@ks_str,"{1: 0.0045000000000000005, 5: 0.0294, 10: 0.0588}"
801230,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0015}"
653635,place_of_birth,P@ks_str,"{1: 0.031200000000000002, 5: 0.062400000000000004, 10: 0.084}"
653635,date_of_birth,P@ks_str,"{1: 0.0089, 5: 0.042199999999999994, 10: 0.0805}"
653635,place_of_death,P@ks_str,"{1: 0.0015, 5: 0.0046, 10: 0.0062}"
759060,place_of_birth,P@ks_str,"{1: 0.0458, 5: 0.1082, 10: 0.1389}"
759060,date_of_birth,P@ks_str,"{1: 0.006999999999999999, 5: 0.0383, 10: 0.06709999999999999}"
759060,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0031, 10: 0.0046}"
10,place_of_birth,P@ks_str,"{1: 0.0, 5: 0.0004, 10: 0.0004}"
10,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
10,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
20,place_of_birth,P@ks_str,"{1: 0.0, 5: 0.0004, 10: 0.0004}"
20,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
20,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
0,place_of_birth,P@ks_str,"{1: 0.0, 5: 0.0004, 10: 0.0004}"
0,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
0,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
100,place_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
100,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
100,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
800,place_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
800,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
800,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
200,place_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
200,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
200,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
40,place_of_birth,P@ks_str,"{1: 0.0, 5: 0.0004, 10: 0.0004}"
40,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
40,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
400,place_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
400,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
400,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
