checkpoint (in update steps),relation_type,metric_name,metric
160000,N-1,P@ks_str,"{1: 0.19310434782608699, 5: 0.3431130434782609, 10: 0.4212000000000001}"
160000,N-M,P@ks_str,"{1: 0.14353749999999996, 5: 0.28451875000000004, 10: 0.36695}"
180000,1-1,P@ks_str,"{1: 0.36015, 5: 0.5889500000000001, 10: 0.6409}"
180000,N-1,P@ks_str,"{1: 0.19073913043478258, 5: 0.34078260869565213, 10: 0.4153869565217391}"
180000,N-M,P@ks_str,"{1: 0.13295, 5: 0.26139375, 10: 0.3450937499999999}"
200000,1-1,P@ks_str,"{1: 0.42264999999999997, 5: 0.6195999999999999, 10: 0.66525}"
200000,N-1,P@ks_str,"{1: 0.19419999999999998, 5: 0.3552304347826087, 10: 0.4374869565217391}"
200000,N-M,P@ks_str,"{1: 0.14365624999999999, 5: 0.28263750000000004, 10: 0.3707625}"
220000,1-1,P@ks_str,"{1: 0.403, 5: 0.59595, 10: 0.6494}"
220000,N-1,P@ks_str,"{1: 0.2150608695652174, 5: 0.3900652173913044, 10: 0.4660086956521739}"
220000,N-M,P@ks_str,"{1: 0.16156250000000003, 5: 0.3071062499999999, 10: 0.38655000000000006}"
240000,1-1,P@ks_str,"{1: 0.43515000000000004, 5: 0.6227, 10: 0.68345}"
240000,N-1,P@ks_str,"{1: 0.20468260869565222, 5: 0.3561739130434782, 10: 0.43106521739130427}"
240000,N-M,P@ks_str,"{1: 0.14026249999999998, 5: 0.26503125, 10: 0.34396875}"
260000,1-1,P@ks_str,"{1: 0.40349999999999997, 5: 0.5931500000000001, 10: 0.6634}"
260000,N-1,P@ks_str,"{1: 0.19536956521739127, 5: 0.3618956521739132, 10: 0.43777826086956534}"
260000,N-M,P@ks_str,"{1: 0.15097500000000003, 5: 0.28430625000000004, 10: 0.36074375000000003}"
280000,1-1,P@ks_str,"{1: 0.3765, 5: 0.5789, 10: 0.63415}"
280000,N-1,P@ks_str,"{1: 0.1776391304347826, 5: 0.33562173913043475, 10: 0.4169347826086956}"
280000,N-M,P@ks_str,"{1: 0.14572499999999997, 5: 0.28530000000000005, 10: 0.36880624999999995}"
300000,1-1,P@ks_str,"{1: 0.4333, 5: 0.63955, 10: 0.68655}"
300000,N-1,P@ks_str,"{1: 0.22682608695652168, 5: 0.404695652173913, 10: 0.4756173913043479}"
300000,N-M,P@ks_str,"{1: 0.16026875, 5: 0.30415625, 10: 0.38326875}"
320000,1-1,P@ks_str,"{1: 0.43745, 5: 0.6174, 10: 0.6717500000000001}"
320000,N-1,P@ks_str,"{1: 0.19802608695652169, 5: 0.35054347826086957, 10: 0.4397565217391305}"
320000,N-M,P@ks_str,"{1: 0.15397500000000003, 5: 0.30709374999999994, 10: 0.398825}"
340000,1-1,P@ks_str,"{1: 0.44235, 5: 0.6308, 10: 0.6978}"
340000,N-1,P@ks_str,"{1: 0.20653043478260863, 5: 0.3522, 10: 0.4262521739130435}"
340000,N-M,P@ks_str,"{1: 0.15996875, 5: 0.3082875, 10: 0.38683124999999996}"
360000,1-1,P@ks_str,"{1: 0.41335, 5: 0.60965, 10: 0.67605}"
360000,N-1,P@ks_str,"{1: 0.19935217391304347, 5: 0.37224347826086956, 10: 0.4502782608695651}"
360000,N-M,P@ks_str,"{1: 0.15480000000000002, 5: 0.3166625000000001, 10: 0.39865625000000005}"
380000,1-1,P@ks_str,"{1: 0.44794999999999996, 5: 0.6239, 10: 0.686}"
380000,N-1,P@ks_str,"{1: 0.20043913043478262, 5: 0.36822173913043477, 10: 0.44208260869565214}"
