checkpoint (in update steps),relation_type,metric_name,metric
133388,N-M,P@ks_str,"{1: 0.19261875, 5: 0.33736875, 10: 0.4131875}"
140000,1-1,P@ks_str,"{1: 0.42, 5: 0.5897, 10: 0.6507499999999999}"
140000,N-1,P@ks_str,"{1: 0.18445652173913038, 5: 0.3375434782608696, 10: 0.40190434782608697}"
140000,N-M,P@ks_str,"{1: 0.1555375, 5: 0.28704999999999997, 10: 0.37478749999999994}"
160000,1-1,P@ks_str,"{1: 0.4337, 5: 0.6330500000000001, 10: 0.6883}"
160000,N-1,P@ks_str,"{1: 0.1874217391304348, 5: 0.3226478260869565, 10: 0.3873695652173912}"
160000,N-M,P@ks_str,"{1: 0.16428749999999998, 5: 0.31748125000000005, 10: 0.40281249999999996}"
180000,1-1,P@ks_str,"{1: 0.44684999999999997, 5: 0.6321, 10: 0.68335}"
180000,N-1,P@ks_str,"{1: 0.20143043478260872, 5: 0.3506652173913043, 10: 0.41297826086956524}"
180000,N-M,P@ks_str,"{1: 0.1710375, 5: 0.336025, 10: 0.42914375000000005}"
200000,1-1,P@ks_str,"{1: 0.42495000000000005, 5: 0.6265499999999999, 10: 0.6795}"
200000,N-1,P@ks_str,"{1: 0.19546086956521738, 5: 0.32781304347826096, 10: 0.3831391304347827}"
200000,N-M,P@ks_str,"{1: 0.17913125000000002, 5: 0.31834999999999997, 10: 0.3940437499999999}"
200082,1-1,P@ks_str,"{1: 0.4261, 5: 0.61485, 10: 0.6857}"
200082,N-1,P@ks_str,"{1: 0.19295217391304345, 5: 0.32811739130434786, 10: 0.3829521739130435}"
200082,N-M,P@ks_str,"{1: 0.17211250000000003, 5: 0.32386875, 10: 0.40641875000000005}"
220000,1-1,P@ks_str,"{1: 0.43979999999999997, 5: 0.6251, 10: 0.6855}"
220000,N-1,P@ks_str,"{1: 0.20298695652173915, 5: 0.34735217391304346, 10: 0.4130565217391304}"
220000,N-M,P@ks_str,"{1: 0.183575, 5: 0.31981249999999994, 10: 0.4023999999999999}"
240000,1-1,P@ks_str,"{1: 0.45485, 5: 0.6288, 10: 0.6958500000000001}"
240000,N-1,P@ks_str,"{1: 0.2113086956521739, 5: 0.35472173913043475, 10: 0.4281782608695652}"
240000,N-M,P@ks_str,"{1: 0.21001250000000002, 5: 0.3446, 10: 0.42223125000000006}"
260000,1-1,P@ks_str,"{1: 0.47014999999999996, 5: 0.6777500000000001, 10: 0.7238}"
260000,N-1,P@ks_str,"{1: 0.1998478260869565, 5: 0.3487695652173913, 10: 0.4137478260869564}"
260000,N-M,P@ks_str,"{1: 0.20446874999999998, 5: 0.3519562499999999, 10: 0.42503124999999986}"
266776,1-1,P@ks_str,"{1: 0.48224999999999996, 5: 0.665, 10: 0.71765}"
266776,N-1,P@ks_str,"{1: 0.2235869565217391, 5: 0.3782217391304348, 10: 0.4542260869565218}"
266776,N-M,P@ks_str,"{1: 0.21354374999999998, 5: 0.37772500000000003, 10: 0.45878749999999996}"
280000,1-1,P@ks_str,"{1: 0.47385, 5: 0.6376, 10: 0.6934499999999999}"
280000,N-1,P@ks_str,"{1: 0.2236478260869565, 5: 0.3738608695652174, 10: 0.42831739130434776}"
280000,N-M,P@ks_str,"{1: 0.20323125000000003, 5: 0.35975625000000006, 10: 0.4420125}"
300000,1-1,P@ks_str,"{1: 0.4523, 5: 0.6643, 10: 0.7307}"
300000,N-1,P@ks_str,"{1: 0.20986521739130434, 5: 0.3541565217391304, 10: 0.41966521739130436}"
300000,N-M,P@ks_str,"{1: 0.21390624999999996, 5: 0.35738125, 10: 0.44300000000000006}"
320000,1-1,P@ks_str,"{1: 0.45604999999999996, 5: 0.6755, 10: 0.7272000000000001}"
320000,N-1,P@ks_str,"{1: 0.2022782608695652, 5: 0.3617565217391304, 10: 0.4174869565217392}"
320000,N-M,P@ks_str,"{1: 0.18613749999999998, 5: 0.347775, 10: 0.43475624999999996}"
340000,1-1,P@ks_str,"{1: 0.48195, 5: 0.6692500000000001, 10: 0.72895}"
340000,N-1,P@ks_str,"{1: 0.22598695652173914, 5: 0.3880608695652174, 10: 0.46052608695652175}"
340000,N-M,P@ks_str,"{1: 0.20209375000000002, 5: 0.36583124999999994, 10: 0.44169375}"
360000,1-1,P@ks_str,"{1: 0.49124999999999996, 5: 0.6585, 10: 0.7223}"
360000,N-1,P@ks_str,"{1: 0.20466521739130436, 5: 0.3536521739130435, 10: 0.4217304347826087}"
360000,N-M,P@ks_str,"{1: 0.18563750000000004, 5: 0.32534375000000004, 10: 0.409975}"
380000,1-1,P@ks_str,"{1: 0.46895, 5: 0.6819, 10: 0.7328000000000001}"
380000,N-1,P@ks_str,"{1: 0.22421739130434784, 5: 0.3837869565217392, 10: 0.4390086956521739}"
380000,N-M,P@ks_str,"{1: 0.17832499999999998, 5: 0.34857499999999997, 10: 0.428075}"
400000,1-1,P@ks_str,"{1: 0.4653, 5: 0.6618, 10: 0.7259}"
400000,N-1,P@ks_str,"{1: 0.22136521739130435, 5: 0.38933478260869575, 10: 0.4686782608695652}"
400000,N-M,P@ks_str,"{1: 0.19200625000000002, 5: 0.357675, 10: 0.42771875000000004}"
420000,1-1,P@ks_str,"{1: 0.4873, 5: 0.6756500000000001, 10: 0.727}"
420000,N-1,P@ks_str,"{1: 0.23724347826086953, 5: 0.40801304347826084, 10: 0.4755217391304348}"
420000,N-M,P@ks_str,"{1: 0.21164999999999998, 5: 0.3636, 10: 0.4372}"
