scenario,relation_type,metric_name,metric
random,1-1,P@ks_str,"{1: 0, 5: 0, 10: 0}"
random,N-1,P@ks_str,"{1: 0, 5: 0, 10: 0}"
random,N-M,P@ks_str,"{1: 0, 5: 0, 10: 0}"
