scenario,metric_name,metric
WIKI (12GB),acc,0.254
WIKI (12GB),acc,0.228
WIKI (12GB),acc,0.242
WIKI (12GB),acc,0.246
WIKI (12GB),acc,0.219
WIKI (12GB),acc,0.298
WIKI (12GB),acc,0.311
WIKI (12GB),acc,0.259
WIKI (12GB),acc,0.284
WIKI (12GB),acc,0.307
WIKI (12GB),acc,0.214
WIKI (12GB),acc,0.307
WIKI (12GB),acc,0.257
WIKI (12GB),acc,0.282
WIKI (12GB),acc,0.248
WIKI (12GB),acc,0.308
WIKI (12GB),acc,0.228
WIKI (12GB),acc,0.307
WIKI (12GB),acc,0.31
WIKI (12GB),acc,0.232
WIKI (12GB),acc,0.292
WIKI (12GB),acc,0.237
WIKI (12GB),acc,0.298
WIKI (12GB),acc,0.214
WIKI (12GB),acc,0.239
WIKI (12GB),acc,0.224
WIKI (12GB),acc,0.238
WIKI (12GB),acc,0.307
ALL (161GB),acc,0.301
ALL (161GB),acc,0.258
ALL (161GB),acc,0.34
ALL (161GB),acc,0.384
ALL (161GB),acc,0.355
ALL (161GB),acc,0.252
ALL (161GB),acc,0.259
ALL (161GB),acc,0.348
ALL (161GB),acc,0.254
ALL (161GB),acc,0.341
ALL (161GB),acc,0.35
ALL (161GB),acc,0.38
ALL (161GB),acc,0.38
ALL (161GB),acc,0.322
ALL (161GB),acc,0.389
ALL (161GB),acc,0.377
ALL (161GB),acc,0.384
ALL (161GB),acc,0.397
ALL (161GB),acc,0.225
ALL (161GB),acc,0.382
ALL (161GB),acc,0.377
ALL (161GB),acc,0.378
ALL (161GB),acc,0.339
ALL (161GB),acc,0.393
ALL (161GB),acc,0.338
ALL (161GB),acc,0.232
ALL (161GB),acc,0.385
ALL (161GB),acc,0.37
ALL (161GB),acc,0.253
ALL (161GB),acc,0.39
ALL (161GB),acc,0.386
ALL (161GB),acc,0.374
ALL (161GB),acc,0.378
ALL (161GB),acc,0.256
ALL (161GB),acc,0.373
ALL (161GB),acc,0.387
ALL (161GB),acc,0.38
ALL (161GB),acc,0.331
ALL (161GB),acc,0.395
ALL (161GB),acc,0.391
ALL (161GB),acc,0.397
ALL (161GB),acc,0.388
ALL (161GB),acc,0.372
ALL (161GB),acc,0.375
ALL (161GB),acc,0.371
ALL (161GB),acc,0.215
ALL (161GB),acc,0.382
ALL (161GB),acc,0.372
ALL (161GB),acc,0.396
ALL (161GB),acc,0.39
ALL (161GB),acc,0.354
ALL (161GB),acc,0.36
ALL (161GB),acc,0.371
ALL (161GB),acc,0.232
ALL (161GB),acc,0.39
ALL (161GB),acc,0.379
ALL (161GB),acc,0.379
ALL (161GB),acc,0.363
ALL (161GB),acc,0.362
ALL (161GB),acc,0.231
ALL (161GB),acc,0.372
ALL (161GB),acc,0.368
STORIES (12GB),acc,0.258
STORIES (12GB),acc,0.251
STORIES (12GB),acc,0.259
STORIES (12GB),acc,0.252
STORIES (12GB),acc,0.236
STORIES (12GB),acc,0.251
STORIES (12GB),acc,0.254
STORIES (12GB),acc,0.246
NEWS+WIKI+STORIES (36GB),acc,0.274
NEWS+WIKI+STORIES (36GB),acc,0.256
NEWS+WIKI+STORIES (36GB),acc,0.347
NEWS+WIKI+STORIES (36GB),acc,0.366
NEWS+WIKI+STORIES (36GB),acc,0.342
NEWS+WIKI+STORIES (36GB),acc,0.249
NEWS+WIKI+STORIES (36GB),acc,0.257
NEWS+WIKI+STORIES (36GB),acc,0.346
NEWS+WIKI+STORIES (36GB),acc,0.251
NEWS+WIKI+STORIES (36GB),acc,0.344
NEWS+WIKI+STORIES (36GB),acc,0.361
NEWS+WIKI+STORIES (36GB),acc,0.377
NEWS+WIKI+STORIES (36GB),acc,0.378
NEWS+WIKI+STORIES (36GB),acc,0.321
NEWS+WIKI+STORIES (36GB),acc,0.384
NEWS+WIKI+STORIES (36GB),acc,0.379
NEWS+WIKI+STORIES (36GB),acc,0.376
NEWS+WIKI+STORIES (36GB),acc,0.375
NEWS+WIKI+STORIES (36GB),acc,0.214
NEWS+WIKI+STORIES (36GB),acc,0.386
NEWS+WIKI+STORIES (36GB),acc,0.377
NEWS+WIKI+STORIES (36GB),acc,0.375
NEWS+WIKI+STORIES (36GB),acc,0.331
NEWS+WIKI+STORIES (36GB),acc,0.386
NEWS+WIKI+STORIES (36GB),acc,0.326
NEWS+WIKI+STORIES (36GB),acc,0.223
NEWS+WIKI+STORIES (36GB),acc,0.378
NEWS+WIKI+STORIES (36GB),acc,0.372
NEWS+WIKI+STORIES (36GB),acc,0.24
NEWS+WIKI+STORIES (36GB),acc,0.378
NEWS+WIKI+STORIES (36GB),acc,0.378
NEWS+WIKI+STORIES (36GB),acc,0.378
NEWS+WIKI+STORIES (36GB),acc,0.373
NEWS+WIKI+STORIES (36GB),acc,0.242
NEWS+WIKI+STORIES (36GB),acc,0.387
NEWS+WIKI+STORIES (36GB),acc,0.379
NEWS+WIKI+STORIES (36GB),acc,0.373
NEWS+WIKI+STORIES (36GB),acc,0.338
NEWS+WIKI+STORIES (36GB),acc,0.388
NEWS+WIKI+STORIES (36GB),acc,0.379
NEWS+WIKI+STORIES (36GB),acc,0.385
NEWS+WIKI+STORIES (36GB),acc,0.38
NEWS+WIKI+STORIES (36GB),acc,0.377
NEWS+WIKI+STORIES (36GB),acc,0.371
NEWS+WIKI+STORIES (36GB),acc,0.378
NEWS+WIKI+STORIES (36GB),acc,0.228
NEWS+WIKI+STORIES (36GB),acc,0.369
NEWS+WIKI+STORIES (36GB),acc,0.372
NEWS+WIKI+STORIES (36GB),acc,0.388
NEWS+WIKI+STORIES (36GB),acc,0.386
NEWS+WIKI+STORIES (36GB),acc,0.357
NEWS+WIKI+STORIES (36GB),acc,0.372
NEWS+WIKI+STORIES (36GB),acc,0.365
NEWS+WIKI+STORIES (36GB),acc,0.235
NEWS+WIKI+STORIES (36GB),acc,0.389
NEWS+WIKI+STORIES (36GB),acc,0.35
NEWS+WIKI+STORIES (36GB),acc,0.365
NEWS+WIKI+STORIES (36GB),acc,0.358
NEWS+WIKI+STORIES (36GB),acc,0.366
NEWS+WIKI+STORIES (36GB),acc,0.236
NEWS+WIKI+STORIES (36GB),acc,0.367
NEWS+WIKI+STORIES (36GB),acc,0.357
Small WIKI (4GB),acc,0.258
Small WIKI (4GB),acc,0.254
Small WIKI (4GB),acc,0.259
Small WIKI (4GB),acc,0.246
Small WIKI (4GB),acc,0.215
Small WIKI (4GB),acc,0.255
Small WIKI (4GB),acc,0.248
Small WIKI (4GB),acc,0.238
