checkpoint (in update steps),metric_name,metric
906655,acc,0.8794285714285713
927740,acc,0.8797142857142857
210850,acc,0.8562857142857141
358445,acc,0.8645714285714285
168680,acc,0.8632857142857142
590380,acc,0.8764285714285714
442785,acc,0.8747142857142858
21085,acc,0.7078571428571429
548210,acc,0.8691428571428572
126510,acc,0.8632857142857143
400615,acc,0.874
948825,acc,0.9025
885570,acc,0.8768571428571429
569295,acc,0.8805714285714286
379530,acc,0.8745714285714286
147595,acc,0.8528571428571429
421700,acc,0.8741428571428571
0,acc,0.4855714285714286
189765,acc,0.8499999999999999
337360,acc,0.8682857142857142
611465,acc,0.864
231935,acc,0.8684285714285714
695805,acc,0.8641428571428571
716890,acc,0.8752857142857143
737975,acc,0.8694285714285714
674720,acc,0.8712857142857143
295190,acc,0.873
274105,acc,0.8594285714285714
527125,acc,0.864
105425,acc,0.838
463870,acc,0.881142857142857
42170,acc,0.7947142857142857
990995,acc,0.8821428571428571
843400,acc,0.8705714285714287
484955,acc,0.8718571428571428
63255,acc,0.8062857142857143
506040,acc,0.8617142857142858
84340,acc,0.8457142857142859
253020,acc,0.8604285714285714
316275,acc,0.8735714285714288
864485,acc,0.8727142857142857
969910,acc,0.8808571428571429
1012080,acc,0.8824285714285715
780145,acc,0.8711428571428571
632550,acc,0.879142857142857
822315,acc,0.8707142857142857
801230,acc,0.8711428571428571
653635,acc,0.8664285714285713
759060,acc,0.8765714285714286
10,acc,0.48528571428571426
20,acc,0.48499999999999993
100,acc,0.4625714285714286
800,acc,0.7077142857142859
200,acc,0.5277142857142857
40,acc,0.4802857142857143
400,acc,0.5054285714285714
