scenario,metric_name,metric
NEWS (12GB),acc,0.727224294086308
NEWS (12GB),acc,0.7266915290356952
NEWS (12GB),acc,0.6941928609483218
NEWS (12GB),acc,0.705380927011188
NEWS (12GB),acc,0.678742674480554
NEWS (12GB),acc,0.7197655833777304
NEWS (12GB),acc,0.7107085775173149
NEWS (12GB),acc,0.6462440063931806
NEWS (12GB),acc,0.7293553542887586
NEWS (12GB),acc,0.6893979754928077
NEWS (12GB),acc,0.7043153969099627
NEWS (12GB),acc,0.7325519445924348
NEWS (12GB),acc,0.7330847096430474
NEWS (12GB),acc,0.717101758124667
NEWS (12GB),acc,0.7144379328716036
NEWS (12GB),acc,0.6803409696323921
NEWS (12GB),acc,0.7043153969099627
NEWS (12GB),acc,0.4928076718167288
NEWS (12GB),acc,0.6936600958977092
NEWS (12GB),acc,0.7139051678209909
NEWS (12GB),acc,0.7298881193393714
NEWS (12GB),acc,0.6840703249866809
NEWS (12GB),acc,0.7261587639850826
NEWS (12GB),acc,0.7187000532765051
NEWS (12GB),acc,0.7192328183271177
NEWS (12GB),acc,0.727224294086308
NEWS (12GB),acc,0.7075119872136388
NEWS (12GB),acc,0.6915290356952584
NEWS (12GB),acc,0.7192328183271177
NEWS (12GB),acc,0.678742674480554
NEWS (12GB),acc,0.7149706979222163
NEWS (12GB),acc,0.6579648375066596
NEWS (12GB),acc,0.732019179541822
NEWS (12GB),acc,0.7266915290356952
NEWS (12GB),acc,0.7234949387320192
NEWS (12GB),acc,0.6611614278103356
NEWS (12GB),acc,0.7240277037826318
NEWS (12GB),acc,0.6760788492274907
NEWS (12GB),acc,0.7016515716568993
NEWS (12GB),acc,0.7011188066062867
NEWS (12GB),acc,0.728822589238146
NEWS (12GB),acc,0.730420884389984
NEWS (12GB),acc,0.7357485348961108
NEWS (12GB),acc,0.7234949387320192
NEWS (12GB),acc,0.7176345231752796
NEWS (12GB),acc,0.7261587639850826
NEWS (12GB),acc,0.7234949387320192
NEWS (12GB),acc,0.7165689930740543
NEWS (12GB),acc,0.7256259989344699
WIKI (12GB),acc,0.6702184336707512
WIKI (12GB),acc,0.6925945657964837
WIKI (12GB),acc,0.6707511987213639
WIKI (12GB),acc,0.6920618007458711
WIKI (12GB),acc,0.6941928609483218
WIKI (12GB),acc,0.6057538625466169
WIKI (12GB),acc,0.6995205114544486
WIKI (12GB),acc,0.6654235482152371
WIKI (12GB),acc,0.6920618007458711
WIKI (12GB),acc,0.6968566862013852
WIKI (12GB),acc,0.6995205114544486
WIKI (12GB),acc,0.6600958977091103
WIKI (12GB),acc,0.6846030900372936
WIKI (12GB),acc,0.4928076718167288
WIKI (12GB),acc,0.6696856686201386
WIKI (12GB),acc,0.6830047948854555
WIKI (12GB),acc,0.6979222163026105
WIKI (12GB),acc,0.678742674480554
WIKI (12GB),acc,0.7016515716568993
WIKI (12GB),acc,0.6952583910495471
WIKI (12GB),acc,0.7016515716568993
WIKI (12GB),acc,0.70378263185935
WIKI (12GB),acc,0.6835375599360682
WIKI (12GB),acc,0.6782099094299414
WIKI (12GB),acc,0.702184336707512
WIKI (12GB),acc,0.6537027171017581
WIKI (12GB),acc,0.6899307405434204
WIKI (12GB),acc,0.6302610548748002
WIKI (12GB),acc,0.6968566862013852
WIKI (12GB),acc,0.6979222163026105
WIKI (12GB),acc,0.637187000532765
WIKI (12GB),acc,0.702184336707512
WIKI (12GB),acc,0.6478423015450187
WIKI (12GB),acc,0.678742674480554
WIKI (12GB),acc,0.6867341502397443
WIKI (12GB),acc,0.6920618007458711
WIKI (12GB),acc,0.6963239211507725
WIKI (12GB),acc,0.702184336707512
WIKI (12GB),acc,0.7027171017581246
WIKI (12GB),acc,0.7005860415556739
WIKI (12GB),acc,0.6867341502397443
WIKI (12GB),acc,0.7048481619605754
STORIES (12GB),acc,0.6760788492274907
STORIES (12GB),acc,0.6782099094299414
STORIES (12GB),acc,0.6728822589238146
STORIES (12GB),acc,0.6803409696323921
STORIES (12GB),acc,0.6771443793287161
STORIES (12GB),acc,0.6803409696323921
STORIES (12GB),acc,0.6739477890250399
STORIES (12GB),acc,0.630793819925413
STORIES (12GB),acc,0.6664890783164624
STORIES (12GB),acc,0.6611614278103356
STORIES (12GB),acc,0.6728822589238146
STORIES (12GB),acc,0.6803409696323921
STORIES (12GB),acc,0.6920618007458711
STORIES (12GB),acc,0.6776771443793287
STORIES (12GB),acc,0.6611614278103356
STORIES (12GB),acc,0.6712839637719765
STORIES (12GB),acc,0.660628662759723
STORIES (12GB),acc,0.6808737346830048
STORIES (12GB),acc,0.6808737346830048
STORIES (12GB),acc,0.6712839637719765
STORIES (12GB),acc,0.6776771443793287
STORIES (12GB),acc,0.6819392647842302
STORIES (12GB),acc,0.6814064997336174
